Paper Title,Abstract
Artificial intelligence and precision medicine,"From genome sequencing to single-cell multi-omics profiling, bioinformatic data holds massive promise, calling for data interpretation to facilitate the development of precision medicine with artificial intelligence technologies. Moreover, clinical health records and real-time sensing data from wearable devices could provide deeper insights into construction of multidimensional personalized digital profiles. While precision medicine is an appealing concept, several core challenges still impede translation from bench to the bedside, including heterogeneity challenges across varied data sources, integration challenges facing privacy and permission concerns, and real-world challenges with a wider and more complicated disease range than training sets. In this Collection, we publish original research and contributions across all aspects of artificial intelligence, machine learning, and precision medicine. © The Author(s) 2026."
Computer models and artificial intelligence increase the fidelity and efficiency of the in vitro models for hearing loss,"Hearing loss affects millions worldwide and is driven by diverse etiologies, including genetic mutations, ototoxic drug exposure, noise trauma, and aging. To investigate underlying mechanisms and test potential therapies, in vitro models, such as immortalized auditory hair cell lines, cochlear explants, and inner ear organoids, have become indispensable. However, these models face limitations in physiological relevance, scalability, and reproducibility. Recent advances in computer modeling, machine learning (ML), and deep learning (DL) offer powerful tools to enhance the accuracy, efficiency, and translational potential of these systems. This review explores the current state of integration of artificial intelligence algorithms into in vitro auditory models, highlighting its applications in high-throughput image analysis, predictive modeling of ototoxicity, optimization of culture conditions, and organoid development. Furthermore, AI-enabled tools for analyzing omics data, segmenting cochlear structures, and modeling genetic forms of deafness are presented. Despite promising developments, challenges persist, including data standardization, biological complexity, and model interpretability. Addressing these issues through improved datasets, explainable AI, and clinical integration will be key to harnessing AI’s full potential for advancing auditory research and precision medicine. © The Author(s) 2025."
Trends in artificial intelligence and machine learning for renal cancer,"Background: The rapid development of artificial intelligence (AI) and machine learning (ML) technologies has led to their increasing application in the medical field, particularly in renal cancer(RC) research. These technologies have shown great potential in areas such as diagnosis, prognosis, and treatment planning. AI and ML can help in the analysis of complex data, leading to new approaches in understanding RC. Methods: A systematic literature search was conducted by the Web of Science. Core Collection, encompassing studies published from 2012 to 2025. Bibliometric analysis was performed utilizing VOSviewer (1.6.20), CiteSpace (6.3.1), and the R package bibliometrix(version 4.3.0). These tools were used to visualize patterns in co-authorship, institutional collaborations, citations, keyword co-occurrences, and emerging research trends. Results: A total of 1,055 articles related AI and ML in RC were identified, showing a consistent annual growth of 48.45%. China contributed 36.6% of these publications, while the University of Texas System emerged as the most prolific institution. Collaboration networks reveal limited international engagement, with research efforts remaining largely regional. Checcucci, E. and Wang, X. rank as the most productive and influential authors, and journals such as Scientific Reports and Frontiers in Oncology serve as the principal publication venues. Emerging research hotspots include nivolumab, immune-checkpoint inhibitors, the tumor microenvironment, and therapy resistance. Conclusion: AI and ML are expected to play an increasingly important in RC research as technological advancements and in-depth studies continue. Addressing the challenges and limitations related to these technologies is crucial for their successful and ethical integration into clinical practice. Ongoing research, collaboration, and innovation are essential to overcome these hurdles and fully leverage the benefits of AI and ML in oncology. © The Author(s) 2025."
Diagnostic performance of machine learning and deep learning algorithms for thyroid cancer metastasis: a systematic review and meta-analysis,"Background: Metastasis significantly influences prognosis in thyroid cancer, especially in papillary thyroid carcinoma. With the rise of artificial intelligence (AI) in medical diagnostics, machine learning (ML) and deep learning (DL) models are being increasingly explored for their ability to enhance the early detection of metastatic spread. This systematic review and meta-analysis aimed to evaluate the diagnostic performance of ML and DL algorithms in detecting metastasis in thyroid cancer. Method: We conducted a comprehensive search of scientific databases, including PubMed, IEEE, Scopus, and Web of Science, covering literature up to July 1st, 2025. This review included studies published in English that used diagnostic models for metastasis in adults with thyroid cancer. Key metrics analyzed were the area under the receiver operating characteristic curve (AUC-ROC) sensitivity, specificity, and the diagnostic odds ratio (DOR) with a 95% confidence interval (CI). Heterogeneity was quantified using I² statistics, and subgroup and moderator analyses were conducted to identify sources of variability. Risk of bias was assessed using the PROBAST tool. Bias risk and concerns were evaluated using the PROBAST checklist. This study was registered with PROSPERO (CRD42024622930). Results: Thirty-five studies encompassing 162 estimates were included. The pooled sensitivity was 0.747 (95% CI: 0.715–0.775) and specificity was 0.746 (95% CI: 0.706–0.783). The pooled DOR was 9.45 (95% CI: 7.27–12.28), indicating a strong association between AI predictions and actual metastatic status. The overall AUC-ROC was 0.818. Subgroup analysis demonstrated particularly high accuracy in models targeting distant metastasis. ML models showed slightly higher discriminative ability compared to DL models, and robust performance was observed across a variety of cancer subtypes and input data sources. Moderator analysis further confirmed the stability and adaptability of these models under different clinical and technical settings. Conclusion: ML and DL algorithms demonstrate favorable diagnostic performance in identifying metastasis in thyroid cancer and may serve as supportive tools in clinical decision-making. Their consistent results across different metastasis types and technical settings highlight their potential to complement existing diagnostic approaches. These findings encourage further exploration and refinement of AI-based methods for integration into routine oncologic practice. © The Author(s) 2025."
Development and application of artificial intelligence in traditional Chinese medicine research and development,"Background: The integration of artificial intelligence (AI) into traditional Chinese medicine (TCM) research and development offers promising solutions to longstanding challenges in the field. These challenges include the complexity of TCM formulations, variability in quality control, and hurdles in global market acceptance. The unique synergy between AI technologies and TCM principles creates opportunities to enhance research efficiency, standardization, and innovation. Aim of review: This review aims to explore the applications and impact of AI across three critical stages of TCM development: drug design, pharmaceutical manufacturing, and market access. By summarizing the advancements and limitations in these areas, the review identifies the transformative potential of AI and proposes future directions for integrating AI with emerging technologies to advance TCM research and development (R&D). Key scientific concepts of review: AI has transformative potential in TCM development, addressing key challenges across various stages. In drug design, AI accelerates the identification of active compounds, optimizes formula composition, and models pharmacodynamic relationships to enhance innovation efficiency and precision. During pharmaceutical manufacturing, AI contributes to process optimization, quality control, and the standardization of TCM products, ensuring stable and scalable production. For market access, although no TCM developed by AI has entered the clinic, AI has played a role in comprehensive safety and efficacy assessments and simplified regulatory compliance in other drugs. By leveraging these advances and reviewing limitations, AI promotes the need to develop more integrated, more efficient, and more utilized methods in TCM R&D. © The Author(s) 2026."
A scoping review of explainable artificial intelligence in sports science,"Artificial intelligence (AI) and machine learning (ML) are increasingly being applied in sports science to predict performance, assess injury risk, and support tactical decision-making. However, the opacity of many machine learning (ML) models has led to a growing interest in explainable AI (XAI) methods, which aim to make the decisions of ""black box"" algorithms more transparent and interpretable. The result of this is an increase in trust, facilitation of model validation, and enablement of more informed decision-making for practitioners and analysts. While XAI is well established in domains like healthcare or finance, its application in sports science remains fragmented and underexplored. This scoping review follows the PRISMA-Sc approach and systematically examines how XAI and interpretable ML techniques have been applied in the context of sports science. Between 2014 and June 2024, a total of 19 studies were identified through a multi-database search and analyzed in terms of sport type, ML model, XAI method, dependent variable, limitations, challenges and future research. The results reveal a clear dominance of SHapley Additive Explanations across multiple disciplines, while other tools such as Gradient-weighted Class Activation Mapping, Individual Conditional Expectation Plots, or domain-specific approaches are rarely used. Visual and rule-based explanation methods were largely absent. The findings highlight a lack of methodological diversity and limited validation of explanations with domain experts or practitioners. To increase real-world impact, future work should explore comparative evaluations of XAI techniques, domain-specific explanation frameworks, and user-centered approaches that align with the needs of coaches, athletes, and analysts. © The Author(s) 2025."
"Artificial intelligence-driven screening, early diagnosis, and treatment strategies for cervical cancer: an overview","Cervical cancer (CC) is a significant global health issue, particularly in low-income countries. Early detection and successful treatment techniques are critical for decreasing death rates. Artificial intelligence (AI) has emerged as one of the major transformational tools in cancer prediction, improved screening, diagnosis, and therapy. This comprehensive narrative review describes applications of AI in diagnosis, biomarker prediction, development of drugs, and tailored treatment for cervical cancer. Various studies reporting the use of AI-driven imaging methods, multi-omics data analysis, and deep learning algorithms were evaluated for their influence on enhancing CC treatment. AI-powered screening approaches, such as automated Pap (Papanicolaou) smear analysis and colposcopy interpretation, outperformed traditional techniques in terms of accuracy and efficiency. Machine learning algorithms helped in identifying crucial biomarkers, such as microbial and metabolic fingerprints, which improved early diagnosis. AI-assisted drug development has resulted in the identification of new therapeutic targets and improved chemotherapy regimens. Personalized medical techniques, based on AI-driven multi-omics data analysis have helped to increase patient outcomes. However, issues including dataset constraints, clinical validation, and ethical considerations must be resolved before the broad adoption of AI-based diagnosis and therapy. Future research should focus on improving AI models and incorporating them into clinical practice to improve CC management. © The Author(s) 2025."
The Use of Artificial Intelligence for Personalized Treatment in Psychiatry,"Purpose of Review: This review examines the role of artificial intelligence (AI) in psychiatry in the past 5 years across four domains: screening; outcome prediction; risk and relapse prediction; and psychotherapy. Recent Findings: Machine learning models applied to questionnaires, electronic health records, neuroimaging, and digital phenotyping data demonstrate promising results for predicting symptom trajectories, relapse risk and treatment response, but external and clinical validation is rare. Randomized controlled trials provide some evidence for AI-enabled clinical decision support, but only preliminary evidence for chatbot-delivered psychotherapy. Some preliminary evidence for chatbots in screening exists. Ethical risks, including automation bias, model opacity and socioemotional harms, complicate integration into practice. Summary: Current evidence only supports AI’s role as a complement to clinical expertise. To realize safe integration of AI into clinical practice, future work should focus on prospective, multi–site trials with active comparators, external validation across diverse populations, transparent reporting, and governance frameworks that prioritize explainability, oversight, and equity. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025."
Machine learning-based surrogate model for bubble dynamics and cavitation behaviour under sinusoidal waves,"A machine learning-based surrogate model for bubble dynamics and cavitation behavior under sinusoidal waves has broad applications in science and engineering. In biomedical ultrasound, it can predict the nonlinear oscillations of microbubbles for targeted drug delivery, suboperation, and high-intensity focused ultrasound (HIFU) therapy, thereby enhancing treatment safety and efficiency. In underwater acoustics and naval engineering, such models help analyze cavitation around ship propellers and sonar devices, reducing noise, vibration, and material erosion. Similarly, in energy systems like hydropower turbines, compressors, and pumps, surrogate models accelerate the prediction of cavitation-related performance losses and blade damage, supporting more reliable design and operation. In order to find anomalies, cancers, and other medical issues, it is also used to evaluate organs like the liver, kidneys, heart, and blood arteries. Fluid dynamics difficulties have been greatly impacted by the development of contemporary simulation tools such as Artificial Intelligence (AI) and Machine Learning (ML). This study employs an Artificial Neural Network (ANN)-based machine learning technique to analyze the behavior of spherical gas bubbles in Carreau fluids when exposed to an ambient sonic field. The developed dynamical system is trained using an ANN application, specifically the Levenberg–Marquardt Scheme (LMS), a highly nonlinear and complex network. ANN approximation utilizes the Adam optimizer function to evaluate the numerical solution of the problem. The effectiveness of the proposed scheme is tested through the computation of MSE and the comparison of the optimal curve function against the iterative approach. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025."
AI-driven multi-omics integration in precision oncology: bridging the data deluge to clinical decisions,"Cancer’s staggering molecular heterogeneity demands innovative approaches beyond traditional single-omics methods. The integration of multi-omics data, spanning genomics, transcriptomics, proteomics, metabolomics and radiomics, can improve diagnostic and prognostic accuracy when accompanied by rigorous preprocessing and external validation; for example, recent integrated classifiers report AUCs around 0.81–0.87 for difficult early-detection tasks. This review synthesizes how artificial intelligence (AI), particularly deep learning and machine learning, bridges this gap by enabling scalable, non-linear integration of disparate omics layers into clinically actionable insights. We explore cutting-edge AI methodologies, including graph neural networks for biological network modeling, transformers for cross-modal fusion, and explainable AI (XAI) for transparent clinical decision support. Critical applications are highlighted, such as AI-driven therapy selection (e.g., predicting targeted therapy resistance), proteogenomic early detection, and radiogenomic non-invasive diagnostics. We further address translational challenges: data harmonization, batch correction, missing data imputation, and computational scalability. Emerging trends, federated learning for privacy-preserving collaboration, spatial/single-cell omics for microenvironment decoding, quantum computing, and patient-centric “N-of-1” models, signal a paradigm shift toward dynamic, personalized cancer management. Despite persistent hurdles in model generalizability, ethical equity, and regulatory alignment, AI-powered multi-omics integration promises to transform precision oncology from reactive population-based approaches to proactive, individualized care. © The Author(s) 2025."
